module aerx {
  imports {
      Base
 }
	item T1Pistol1
	{
        DisplayCategory = Weapon,
        ImpactSound	=	null,
        MaxRange	=	5,
        WeaponSprite	=	M_T1Pistol1,
        SoundVolume	=	75,
        MinAngle	=	0.95,
        Type	=	Weapon,
        MinimumSwingTime	=	0.5,
        ToHitModifier	=	1.5,
        NPCSoundBoost	=	1.5,
        KnockBackOnNoDeath	=	TRUE,
        Ranged	=	TRUE,
        SwingAmountBeforeImpact	=	0,
        ProjectileCount	=	1,
        ConditionLowerChanceOneIn	=	5,
        Weight	=	1.5,
        SplatNumber	=	3,
        PushBackMod	=	0.3,
        SubCategory	=	Firearm,
        ConditionMax	=	10,
        ShareDamage	=	FALSE,
        MaxHitCount	=	1,
        IsAimedFirearm	=	TRUE,
        DoorDamage	=	5,
        UseEndurance	=	FALSE,
        SwingAnim	=	Handgun,
        DisplayName	=	Junk Pistol,
        MinRange	=	0.61,
        SwingTime	=	0.5,
        MultipleHitConditionAffected	=	FALSE,
		BringToBearSound = DesertEagleBringToBear,
        SwingSound	=	DesertEagleShoot,
        HitSound = BulletHitBody,
		ClickSound = DesertEagleJam,
        SoundRadius	=	70,
        MinDamage	=	0.7,
        MaxDamage	=	1.4,
        SplatSize	=	3,
        KnockdownMod	=	2,
        SplatBloodOnNoDeath	=	TRUE,
        Icon	=	T1Pistol1,
        RunAnim	=	Run_Weapon2,
        CriticalChance	=	20,
        CritDmgMultiplier = 4,
        AimingPerkCritModifier = 10,
        AimingPerkRangeModifier = 1.5,
        HitChance = 20,
        AimingPerkHitChanceModifier = 12,
        AimingPerkMinAngleModifier = 0.05,
        RecoilDelay = 32,
        SoundGain = 1.5,
        ClipSize = 1,
        ReloadTime = 30,
        AimingTime = 30,
        BreakSound  =   DesertEagleBreak,
        MetalValue = 30,
        MaxAmmo = 1,
		EquipSound = DesertEagleEquip,
		UnequipSound = DesertEagleUnequip,
        InsertAmmoSound = DesertEagleInsertAmmo,
        EjectAmmoSound = DesertEagleEjectAmmo,
		InsertAmmoStartSound = DesertEagleInsertAmmoStart,
		InsertAmmoStopSound = DesertEagleInsertAmmoStop,
		EjectAmmoStartSound = DesertEagleEjectAmmoStart,
		EjectAmmoStopSound = DesertEagleEjectAmmoStop,
        ShellFallSound = DesertEagleCartridgeFall,
        RackSound = DesertEagleRack,
        AmmoType = aerx.T1PistolAmmo,
        WeaponReloadType = revolver,
        JamGunChance = 15,
        AttachmentType = Holster,
        haveChamber = FALSE,
        StopPower = 9,
	}


	item T1Pistol2
	{
        DisplayCategory = Weapon,
        ImpactSound	=	null,
        MaxRange	=	5,
        WeaponSprite	=	M_T1Pistol2,
        SoundVolume	=	75,
        MinAngle	=	0.95,
        Type	=	Weapon,
        MinimumSwingTime	=	0.5,
        ToHitModifier	=	1.5,
